10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
3	46	8	33	26
4	47	48	31	24
4	44	9	27	22
4	45	47	44	10
4	45	9	41	29
3	43	48	38	21
2	46	6	33	19
5	46	49	30	17
2	44	4	46	16
3	43	48	42	15
3	46	9	37	41
8	45	47	34	38
6	3	7	29	35
4	4	47	45	33
3	5	8	41	32
6	4	47	36	30
18	4	5	32	25
5	4	48	29	23
4	5	5	45	21
3	5	48	42	17
10	3	4	35	46
4	6	48	29	40
2	5	6	25	39
3	7	47	44	34
7	10	6	40	31
7	7	48	38	30
4	10	6	35	27
3	11	48	32	21
9	7	8	45	20
3	11	2	40	17
4	11	4	37	43
2	11	54	34	40
2	10	17	31	38
3	10	46	45	32
3	11	28	41	30
1	10	51	38	28
3	10	39	36	26
3	13	46	32	23
2	13	42	45	20
3	12	48	41	17
2	13	46	39	45
3	15	48	35	31
1	15	45	33	29
4	16	49	43	25
4	16	49	40	23
3	17	47	37	17
2	17	44	36	15
1	17	48	33	65
1	18	46	44	63
3	19	49	44	54
3	19	47	41	38
1	21	47	36	34
3	18	44	34	33
2	21	47	43	29
2	21	46	41	26
2	19	47	39	21
3	19	45	34	19
3	20	49	28	80
5	20	45	43	72
1	22	49	40	67
3	21	46	36	63
3	23	47	34	59
2	22	42	33	54
2	25	49	19	48
3	25	47	12	45
3	26	48	10	43
2	23	46	11	39
3	25	48	8	75
2	24	44	31	70
1	26	49	27	36
4	28	49	20	31
2	26	48	9	26
1	25	46	60	25
2	25	48	35	23
2	26	45	32	21
3	26	47	29	17
2	22	44	13	16
2	30	47	7	11
3	27	25	33	8
2	29	48	29	48
1	30	46	25	37
2	28	47	13	34
4	29	47	12	33
4	29	49	33	26
2	32	47	30	20
4	33	49	27	16
4	33	46	9	14
3	30	46	6	11
4	34	43	36	6
3	33	48	33	51
4	32	45	31	41
3	32	50	9	40
5	35	48	6	30
4	34	48	37	29
3	34	46	34	24
2	36	46	31	9
4	31	45	10	30
3	38	47	7	23
3	38	45	38	21
3	39	45	33	13
4	39	42	31	60
4	38	48	10	53
5	41	46	6	48
3	41	51	40	45
3	43	49	37	44
4	43	45	35	43
5	42	43	7	42
4	43	49	54	40
2	44	48	39	38
4	45	46	35	37
2	43	45	30	60
4	46	49	12	56
4	45	49	9	52
1	44	47	40	49
2	45	43	38	46
5	44	49	35	41
4	44	47	12	39
3	47	47	8	35
2	44	46	39	33
2	45	50	35	31
5	44	47	32	18
1	46	51	10	13
3	45	47	7	57
4	43	52	42	51
4	46	48	40	46
4	47	52	39	43
3	44	48	11	36
4	47	51	54	34
2	45	45	42	26
1	45	52	39	23
4	47	48	34	18
5	45	52	11	14
2	45	48	9	9
5	45	52	44	7
2	44	47	40	48
2	40	53	37	45
3	42	47	11	40
3	43	54	6	38
2	44	46	44	34
4	45	54	41	32
3	45	44	27	19
3	44	6	9	12
4	45	48	7	7
4	45	5	45	5
5	45	47	43	49
1	47	6	41	48
2	43	48	55	45
4	44	5	54	38
4	45	47	47	35
5	47	6	45	31
4	45	48	42	21
3	45	8	11	13
4	45	47	56	3
4	44	6	46	55
5	44	47	43	50
2	45	7	38	47
8	45	47	10	45
2	43	7	8	39
3	47	45	46	32
2	45	8	44	30
3	45	45	42	20
5	45	6	9	14
2	45	47	7	7
4	43	7	47	54
3	47	48	45	49
2	47	3	41	44
4	43	48	24	40
3	47	3	19	35
2	47	48	5	29
6	45	5	11	24
2	45	46	10	21
4	47	4	8	15
4	45	50	7	8
3	44	5	20	7
8	44	47	18	51
2	47	5	16	47
3	44	4	14	42
4	44	49	8	36
3	47	47	21	32
3	45	10	16	29
2	43	49	13	23
3	47	25	12	17
2	47	46	6	6
3	45	36	22	44
2	47	46	18	39
4	47	37	15	34
3	45	46	11	29
4	44	39	4	22
3	46	46	22	16
3	46	39	12	11
2	46	47	10	43
4	46	39	8	32
2	45	47	3	28
2	47	39	27	24
4	45	47	24	20
1	44	38	22	17
3	46	48	21	65
2	44	40	6	59
1	44	47	29	54
2	46	39	25	50
4	47	48	23	43
2	45	40	21	40
4	46	46	8	38
3	43	41	30	33
2	43	48	26	29
3	44	40	24	24
5	46	48	18	22
2	46	40	8	20
2	45	46	29	13
2	44	41	22	45
7	44	46	21	43
2	44	37	17	42
5	46	48	8	40
5	46	39	32	35
2	44	46	29	33
3	47	40	28	32
2	46	47	26	11
